Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,Paga_Dividendos,Tamanio_Empresa,Valuacion_PE
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,251.21,41.660034,0.0111,6.03,190.75,313.55,64395423744.0,4288000000.0,4.2620573,2.7147272,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG,Sí,Large Cap,Sobrevalorada
AIZ,Assurant,Multi-line Insurance,282.38,13.511005,0.0125,20.9,205.01,303.94,13928045568.0,1737100032.0,1.0350653,2.286774,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ,Sí,Large Cap,Subvalorada
T,AT&T,Integrated Telecommunication Services,24.89,8.214521,0.0446,3.03,19.89,29.79,170555883520.0,44939001856.0,1.3404372,1.5501993,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T,Sí,Large Cap,Subvalorada
ATO,Atmos Energy,Gas Utilities,169.92,20.25268,0.0235,8.39,160.1,192.51,28714534912.0,2624299008.0,5.8344784,1.8818942,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATO,Sí,Large Cap,Neutral
ADSK,Autodesk,Application Software,251.66,36.738686,0.0,6.85,185.5,329.09,53136814080.0,2139000064.0,7.0783024,16.650787,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK,No,Large Cap,Sobrevalorada
ADP,Automatic Data Processing,Human Resource & Employment Services,272.96,24.927853,0.0246,10.95,188.16,310.08,108436840448.0,6411200000.0,4.94076,18.00409,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP,Sí,Large Cap,Neutral
AZO,AutoZone,Automotive Retail,3025.0,20.790379,0.0,145.5,2902.2,4388.11,49384198144.0,4263984896.0,2.4708898,-17.782507,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO,No,Large Cap,Neutral
AVB,AvalonBay Communities,Multi-Family Residential REITs,184.06,25.248285,0.0387,7.29,160.1,198.63,26283393024.0,1857816064.0,8.52383,2.1691887,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB,Sí,Large Cap,Neutral
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,178.93,19.576586,0.0222,9.14,152.42,199.54,13686423552.0,1496499968.0,1.4799173,5.8470035,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY,Sí,Large Cap,Neutral
AXON,Axon Enterprise,Aerospace & Defense,612.83,256.4142,0.0,2.39,339.01,794.29,49784725504.0,165106000.0,15.465423,13.548294,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXON,No,Large Cap,Sobrevalorada
BKR,Baker Hughes,Oil & Gas Equipment & Services,64.82,20.842443,0.0142,3.11,42.3,70.41,64345133056.0,4839000064.0,2.3208344,3.230984,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKR,Sí,Large Cap,Neutral
BALL,Ball Corporation,"Metal, Glass & Plastic Containers",61.82,17.713467,0.0129,3.49,44.83,68.29,16459359232.0,2076000000.0,1.1489153,2.84688,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BALL,Sí,Large Cap,Neutral
BAC,Bank of America,Diversified Banks,64.49,14.8937645,0.0198,4.33,46.12,65.2,450962325504.0,,3.9582055,1.6392151,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC,Sí,Large Cap (Mega),Subvalorada
BAX,Baxter International,Health Care Equipment,26.73,,0.0015,-1.88,15.73,30.0,13819302912.0,1884000000.0,1.2048215,2.2267578,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX,Sí,Large Cap,Sin P/E (Pérdidas)
BDX,Becton Dickinson,Health Care Equipment,183.4,31.730103,0.0229,5.78,127.58648,187.35,49955741696.0,6120999936.0,2.2218351,2.04603,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX,Sí,Large Cap,Sobrevalorada
